lambda,epoch,val_acc,val_ce,train_ce,train_embed_loss,embed_frac,test_acc,test_ce,step,seed
0.1,3.05,0.6708786364972084,1.509351592431025,0.6476363990828395,0.0572673634439706,0.0088,,,2600.0,123
0.1,3.29,0.669703203056127,1.5209763207016642,0.3898892027884721,0.0334208012744784,0.0085,,,2800.0,123
0.1,3.52,0.6729356450191007,1.552846262534156,0.3814952062815427,0.0333479008171707,0.0087,,,3000.0,123
0.1,3.76,0.6726417866588305,1.5830829925758505,0.4143107184395194,0.0366677142586559,0.0088,,,3200.0,123
0.1,3.99,0.67234792829856,1.5708325919494046,0.4119047858938575,0.0374477168358862,0.009,,,3400.0,123
0.1,4.23,0.6758742286218042,1.59508632180833,0.226079007666558,0.0194222166389226,0.0085,,,3600.0,123
0.1,4.46,0.6717602115780194,1.599592891066627,0.2328469982929527,0.0205853368900716,0.0088,,,3800.0,123
0.1,4.69,0.6732295033793712,1.614628219058014,0.2504374017007649,0.0223384907282888,0.0088,,,4000.0,123
0.1,4.93,0.670584778136938,1.607679799238514,0.26213667627424,0.02322474273853,0.0088,,,4200.0,123
0.1,5.16,0.6776373787834263,1.6704545636020125,0.163760737767443,0.0140356596093624,0.0085,,,4400.0,123
0.1,5.4,0.6770496620628856,1.6443767464409638,0.1479161241557449,0.0125078101921826,0.0084,,,4600.0,123
0.1,5.63,0.6699970614163973,1.6689177649601956,0.1362817098386585,0.0113195763155817,0.0082,,,4800.0,123
0.1,5.87,0.6676461945342345,1.6890051678422966,0.1598930776771158,0.0135408116877079,0.0084,,,5000.0,123
0.1,6.1,0.6679400528945049,1.7212817042566837,0.1227974147628992,0.0100483125075697,0.0081,,,5200.0,123
0.1,6.34,0.6749926535409932,1.7165080629094291,0.0803817387623712,0.0062829003389924,0.0078,,,5400.0,123
0.1,6.57,0.6691154863355863,1.759228275202668,0.0962890076078474,0.0077255880646407,0.008,,,5600.0,123
0.1,final,0.6776373787834263,,,,,0.6576550102850426,1.7394976017582322,4400.0,123
0.0,0.23,0.6385542168674698,1.5435189670441678,1.8587693935632703,0.0,0.0,,,200.0,123
0.0,0.47,0.6459006758742286,1.4942394975630844,1.608406053185463,0.0,0.0,,,400.0,123
0.0,0.7,0.6635321774904496,1.4316638430321598,1.5291040176153183,0.0,0.0,,,600.0,123
0.0,0.94,0.6620628856890979,1.397435828688703,1.5344926312565803,0.0,0.0,,,800.0,123
0.0,1.17,0.6676461945342345,1.4134900216806856,1.204501982629299,0.0,0.0,,,1000.0,123
0.0,1.41,0.6711724948574787,1.413675883203053,0.9632892648875714,0.0,0.0,,,1200.0,123
0.0,1.64,0.6752865119012635,1.4042959612956512,1.0001108485460282,0.0,0.0,,,1400.0,123
0.0,1.88,0.6711724948574787,1.4192966260771314,0.9943422383069992,0.0,0.0,,,1600.0,123
0.0,2.11,0.6711724948574787,1.4814135646280595,0.8021633773276607,0.0,0.0,,,1800.0,123
0.0,2.35,0.6708786364972084,1.4730447042594403,0.6064592358469963,0.0,0.0,,,2000.0,123
0.0,2.58,0.6744049368204525,1.4586863341907386,0.6337309891358018,0.0,0.0,,,2200.0,123
0.0,2.82,0.6679400528945049,1.4648615838743608,0.656338395550847,0.0,0.0,,,2400.0,123
0.0,3.05,0.6732295033793712,1.50745757940479,0.5993771111569367,0.0,0.0,,,2600.0,123
0.0,final,0.6752865119012635,,,,,0.6564795768439612,1.4925414289827037,1400.0,123
zero-shot,0,,,,,,0.5019100793417572,2.5475632094159884,,456
4.0,0.23,0.6312077578607111,1.5816967528671368,1.9101850533485407,0.1481525153294205,0.2368,,,200.0,456
4.0,0.47,0.6506024096385542,1.4796606250415996,1.642493261396885,0.1319978240691125,0.2433,,,400.0,456
4.0,0.7,0.6547164266823391,1.4524561364686457,1.5716330480575562,0.128752182200551,0.2468,,,600.0,456
4.0,0.94,0.6514839847193653,1.42552803514146,1.493181165754795,0.1219788338989019,0.2463,,,800.0,456
4.0,1.17,0.6617690273288275,1.453968040984482,1.1586950066685675,0.0946998441871255,0.2464,,,1000.0,456
4.0,1.41,0.6617690273288275,1.4440450201026138,0.9907270468771456,0.0826661631837487,0.2502,,,1200.0,456
4.0,1.64,0.664707610931531,1.4298634017666332,1.0573061195015907,0.086727663166821,0.247,,,1400.0,456
4.0,1.88,0.6682339112547752,1.3960354588783526,1.0598008340597154,0.0878705049026757,0.2491,,,1600.0,456
4.0,2.11,0.6720540699382898,1.4432072633159816,0.8879448117315769,0.0730348079465329,0.2476,,,1800.0,456
4.0,2.35,0.6679400528945049,1.450197746219125,0.7011098545044661,0.0579429056867957,0.2484,,,2000.0,456
4.0,2.58,0.6635321774904496,1.4723966794962606,0.6804519464820623,0.055886425981298,0.2473,,,2200.0,456
4.0,2.82,0.6685277696150456,1.4732586997696626,0.6904543036222458,0.057829832425341,0.251,,,2400.0,456
4.0,3.05,0.6732295033793712,1.4893566271223952,0.6670105269140914,0.0547271237894892,0.2471,,,2600.0,456
4.0,3.29,0.6673523361739642,1.5111936730144655,0.4258396102115512,0.035267839282751,0.2488,,,2800.0,456
